URI,Title,Authority,Deity,Denomination,Department,Diameter,Dynasty,Issuer,Manufacture,Material,Mint,Obverse Legend,Obverse Type,Object Type,Portrait,Reference,Region,Region-coord,Reverse Legend,Reverse Type,Weight,terminus_post_quem,terminus_ante_quem,year_avg,Thumbnail_obv,Thumbnail_rev
http://numismatics.org/collection/0000.999.24025,"Bronze AE3-4 of Theodosius II, Cyzicus, AD 425 - AD 435. 0000.999.24025",Theodosius II,,AE3-4,Roman,12,,,Struck,Bronze,Cyzicus,D N THEODOSIVS P F AVG,Bust diademed draped cuirassed right,Coin,Theodosius II,RIC X Theodosius II (East) 451,Mysia,"39.1325, 27.184167",,cross within wreath,1.082,425,435,430,http://numismatics.org/collectionimages/00001899/0000/0000.999.24025.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24025.rev.width175.jpg
http://numismatics.org/collection/0000.999.24026,"Bronze AE4 of Theodosius II, Constantinople, AD 408 - AD 450. 0000.999.24026",,,AE4,Roman,10.5,,Theodosius II,,Bronze,Constantinople,[D N P] F AVG,Bust diademed draped cuirassed right,Coin,,,,,,Cross in wreath,0.808,408,450,429,http://numismatics.org/collectionimages/00001899/0000/0000.999.24026.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24026.rev.width175.jpg
http://numismatics.org/collection/0000.999.24027,"Bronze AE3 of Arcadius, AD 401 - AD 403. 0000.999.24027",Theodosius II,Concordia,AE3,Roman,16,,Arcadius,,Bronze,,[D N THE]ODOSIVS P F [AVG],Bust facing helmeted cuir. holding spear and shield,Coin,,,,,[CONCORDI-A AVG],"Concordia std. front, holding sceptre and Vicotory on globe, prow l.",2.379,401,403,402,http://numismatics.org/collectionimages/00001899/0000/0000.999.24027.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24027.rev.width175.jpg
http://numismatics.org/collection/0000.999.24028,"Bronze AE4 of Valentinian III, Rome, AD 425 - AD 435. 0000.999.24028",Valentinian III,Victory,AE4,Roman,11,,,Struck,Bronze,Rome,D N VALEN[TINIANVS P F AVG,Bust diad. dr. cuir. r.,Coin,Valentinian III,RIC X Valentinian III 2121,Italy,"41.9, 12.5",[VICTORIA] AVGG,Victory advancing l. holding wreath and palm,0.88,425,435,430,http://numismatics.org/collectionimages/00001899/0000/0000.999.24028.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24028.rev.width175.jpg
http://numismatics.org/collection/0000.999.24032,"Bronze AE3 of Theodosius II, Constantinople, AD 423 - AD 425. 0000.999.24032",Theodosius II,,AE3,Roman,14,,,Struck,Bronze,Constantinople,[D N THE]ODOSIUS P F AVG,bust diademed cuirassed draped right,Coin,Theodosius II,RIC X Theodosius II (East) 421,Thrace,"42.15, 24.75",GLOR [ORVI-S TERRAR],Emperor standing facing holding sceptre and cross on globe,1.72,423,425,424,http://numismatics.org/collectionimages/00001899/0000/0000.999.24032.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24032.rev.width175.jpg
http://numismatics.org/collection/0000.999.24033,"Bronze AE3 of Theodosius II, Constantinople, AD 408 - AD 423. 0000.999.24033",Theodosius II,,AE3,Roman,13.5,,,Struck,Bronze,Constantinople,D N HONO[RIVS P F AVG],bust diademed cuirassed draped right star in left field,Coin,Honorius|Theodosius II,RIC X Theodosius II (East) 409,Thrace,"42.15, 24.75",GLORI-[A ROMA-NORVM,"Two emperors standing facing each holds sceptre, and jointly hold globe",2.056,408,423,415,http://numismatics.org/collectionimages/00001899/0000/0000.999.24033.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24033.rev.width175.jpg
http://numismatics.org/collection/0000.999.24034,"Bronze AE3 of Arcadius, Constantinople, AD 395 - AD 401. 0000.999.24034",Arcadius,,AE3,Roman,17,,,Struck,Bronze,Constantinople,D N HONORIVS P F AVG,bust diademed cuirassed draped right,Coin,Honorius,RIC X Arcadius 61,Thrace,"42.15, 24.75",[V]IRTVS EXERCITI,Victory crowing emperor standing left holding spear and shield,2.005,395,401,398,http://numismatics.org/collectionimages/00001899/0000/0000.999.24034.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24034.rev.width175.jpg
http://numismatics.org/collection/0000.999.24035,"Bronze AE3 of Arcadius, Cyzicus, AD 395 - AD 401. 0000.999.24035",Arcadius,,AE3,Roman,19,,,Struck,Bronze,Cyzicus,D N HONORIVS P F AVG,bust pearl diademed cuirassed draped right,Coin,Honorius,RIC X Arcadius 68,Mysia,"39.1325, 27.184167",VIRTVS EXERCITI,Victory crowing emperor standing left,2.921,395,401,398,http://numismatics.org/collectionimages/00001899/0000/0000.999.24035.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24035.rev.width175.jpg
http://numismatics.org/collection/0000.999.24036,"Bronze AE3 of Arcadius, Constantinople, AD 395 - AD 401. 0000.999.24036",Arcadius,,AE3,Roman,18,,,Struck,Bronze,Constantinople,D N HONORIVS P F AVG,Bust pearl diademed cuirassed draped right,Coin,Honorius,RIC X Arcadius 61,Thrace,"42.15, 24.75",VIRTVS EXE[RCITI],Victory crowing emperor standing left,1.55,395,401,398,http://numismatics.org/collectionimages/00001899/0000/0000.999.24036.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24036.rev.width175.jpg
http://numismatics.org/collection/0000.999.24037,"Gold Solidus of Honorius, Ravenna, AD 402 - AD 406. 0000.999.24037",Honorius,,Solidus,Roman,21.5,,,Struck,Gold,Ravenna,D N HONORI-VS P F AVG,bust diademed draped cuirassed right,Coin,Honorius,RIC X Honorius 1287,Italy,"41.9, 12.5",VICTORI-A AVGGG,"Emperor standing right holding standard and Victory on globe, right foot on captive",4.463,402,406,404,http://numismatics.org/collectionimages/00001899/0000/0000.999.24037.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24037.rev.width175.jpg
