voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
47116,Conceição Aliança,,"Palmeira, Joaquim Epifânio Lopes",1818-09-09,Mozambique,"Pernambuco, port unspecified",Pernambuco,273,250,,,,,,
47117,Conceição Aliança,,"Palmeira, Joaquim Epifânio Lopes",1819-08-12,Mozambique,Maranhão,Amazonia,300,230,,,,,,70
47120,Serpente,,"Rosario, Bernardo José do",1817-07-29,Momboza or Zanzibar,"Pernambuco, port unspecified",Pernambuco,239,217,,,,,,
47130,Mato Grosso,,"Melo, Francisco José de",1817-08-28,Quilimane,"Pernambuco, port unspecified",Pernambuco,475,436,,,,,,
47147,Feliz,,"Visado, Pedro José",1814-06-27,Mozambique,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
47169,NS da Conceição e Sr dos Passos,,"Francisco, João",1813-05-22,Mozambique,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
47177,S Antônio,,"Diniz, José Teixeira",1805-09-16,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47189,Alexandre Primeiro,Portugal,"Marques, Caetano José Rodrigues",1812-07-11,Mozambique,"Pernambuco, port unspecified",Pernambuco,530,473,,,,,,
47201,S José e Bom Jesus dos Navegantes,Portugal,"Ferreira, José Joaquim",,Mozambique,Maranhão,Amazonia,402,371,,,,,,
47202,Aurora,Portugal,"Silva, João Francisco da",1816-08-08,Mozambique,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
47209,Regeneração,Portugal,,1816-??-??,Quilimane,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
47294,Providência,,"Moraes, Joaquim Teodoro de",1813-05-15,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47295,Feliz Americano,,"Maza, Henrique",1813-03-20,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47303,Amazona,,"Ferreira, Antônio José",1823-05-13,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47363,NS das Brotas e S João Nepomuceno Perjuíba,,"Domingues, José",1802-03-05,Mozambique,Rio de Janeiro,Southeast Brazil,475,436,,,,,,
47453,NS do Paraíso S Antônio e S Francisco Xavier,,"Branco, Antônio Gonçalves",1720-??-??,Madagascar,"Brazil, region unspecified",Other Brazil,386,267,,,,,,
47458,Amazona,,"Silva, Manoel Lopes da",1820-04-28,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47710,NS da Conceição Princesa,,"Moura, José Gervásio",,Benguela,"Bahia, port unspecified",Bahia,359,328,,,,,,
47711,NS da Conceição S Antônio e Almas,,"Moreira, José Alves",1785-11-08,Mozambique,,,271,251,,,,,,
47950,NS de Belém,Portugal,"Santos, Luís Gomes dos",,Mozambique,"Bahia, port unspecified",Bahia,353,324,,,,,,
47960,Vulcano,,,1826-05-19,Mozambique,Rio de Janeiro,Southeast Brazil,449,421,,,,,,
47966,Voador,,"Rodrigues, Antônio Feliciano",1820-07-21,Madagascar,Rio de Janeiro,Southeast Brazil,550,290,,,,,,260
47973,Vigilante,,"Silva, Manoel Lopes da",1812-06-27,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47983,Seis de Fevereiro,,"Moreira, José Lopes da Costa (Jr)",1823-06-05,Quilimane,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
47997,Resolução,,"Souza, Luís Inácio de",1814-04-11,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
47998,Reino do Brasil,Portugal,,,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
48000,Príncipe Regente,,"Moraes, José de",1821-06-08,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
48444,Rainha dos Anjos,Portugal,"Souza, Manoel de; Reis, Jose Severino dos",1789-04-07,Mozambique,,,258,230,,,,,,
48658,NS da Arrábida e S Rita,,,,Mozambique,"Bahia, port unspecified",Bahia,316,284,,,,,,
48802,Flor do Brasil,,"Brito, José Joaquim de",1818-05-14,Mozambique,"Bahia, port unspecified",Bahia,495,428,,,,,,67
48804,Flor da Bahia,,"Ferreira, José dos Santos",1818-06-20,Mozambique,"Bahia, port unspecified",Bahia,557,365,,,,,,192
48823,Estrela,,"Garção, José Pedro da Rocha",1819-06-03,Quilimane,"Bahia, port unspecified",Bahia,211,191,,,,,,
48825,General Cavalcante,Portugal,"Negrão, Pedro José",,Quilimane,"Bahia, port unspecified",Bahia,561,334,,,,,,227
48835,Vigilante Guerreiro,,"Dias, Domingos Francisco",1819-04-25,Quilimane,"Bahia, port unspecified",Bahia,430,230,,,,,,200
48931,NS da Visitação,,"Lisboa, Francisco Rodrigues",,Mozambique,"Bahia, port unspecified",Bahia,357,319,,,,,,
49004,Mariana,,"Domingues, Jerônimo",1819-08-02,Quilimane,Rio de Janeiro,Southeast Brazil,500,446,,,,,,
49005,Feliz Americano,,"Faria, Joaquim Pires",1819-06-24,Quilimane,Rio de Janeiro,Southeast Brazil,426,386,,,,,,
49006,Duque de Bragança,,"Cunha, Eusébio José da",1819-05-31,Mozambique,Rio de Janeiro,Southeast Brazil,510,230,,,,,,280
49009,Vitória,,"Santos, Manoel Cardoso dos; Araújo, José Caetano de",1819-05-19,Madagascar,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49012,União Feliz,,"Teixeira, Jacinto Alves",1819-07-07,Madagascar,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49013,Esgueira,,"Santos, Joaquim dos",1819-06-16,Quilimane,Rio de Janeiro,Southeast Brazil,434,393,,,,,,
49014,Leopoldina,,"Góes, Manoel de Souza",1819-08-08,Quilimane,Rio de Janeiro,Southeast Brazil,422,376,,,,,,
49015,General Silveira,Portugal,"Gonçalves, Joaquim José; Santos, José Vieira dos; Gonçalves, Joaquim José",1819-06-19,Quilimane,Rio de Janeiro,Southeast Brazil,425,385,,,,,,
49021,Pastora de Lima,,"Castro, Nicolau Joaquim de",1819-10-19,Quilimane,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49024,Voador,,"Luz, José Joaquim da",1819-08-13,Madagascar,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49038,Despique,,"Souza, Luís Inácio de",1820-05-01,Madagascar,Rio de Janeiro,Southeast Brazil,468,417,,,,,,
49039,Aurora do Cabo,,"Souza, Francisco José de; Lemos, José Manoel de",1820-04-18,Quilimane,Rio de Janeiro,Southeast Brazil,450,408,,,,,,
49040,Mariana,,"Domingues, Jerônimo",1820-05-28,Madagascar,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49041,Polifemo,,"Blanchart, Manoel Pereira de Souza",1820-05-12,Mozambique,Rio de Janeiro,Southeast Brazil,183,160,,,,,,
49043,Feliz Eugênia,,"Fogaça, Antônio Gomes",1819-09-28,Madagascar,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49044,Triunfo do Brasil,,"Carrilho, João Rodrigues",1820-05-02,Madagascar,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49045,Feliz Americano,,"Henriques, João Militão",1820-05-14,Quilimane,Rio de Janeiro,Southeast Brazil,432,391,,,,,,
49048,Ulisses,,"Viana, Pedro José Correa",,Madagascar,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
49049,Flor do Brasil,,"Silva, José Emídio Pacheco da",1820-04-16,Madagascar,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49051,Aurora do Cabo,,"Henriques, João Militão",1818-05-15,Mozambique,Rio de Janeiro,Southeast Brazil,401,363,,,,,,
49053,Mariana,,"Maia, José Ferreira",1827-03-21,Quilimane,Rio de Janeiro,Southeast Brazil,556,459,,,,,,97
49064,Providente,,"Domingos, Jerônimo; Cristóvão, João",,Inhambane,Rio de Janeiro,Southeast Brazil,247,229,,,,,,18
49075,Carolina,,"Santos, Casemiro Lúcio dos",1814-06-24,Mozambique,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49079,Esgueira,,"Domingues, Jerônimo",1813-06-23,Madagascar,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49093,Duque de Bragança,,"Souza, Luís Inácio de",1818-04-20,Mozambique,Rio de Janeiro,Southeast Brazil,530,472,,,,,,
49096,Resolução,,"Castro, Nicolau Joaquim de",1817-08-24,Madagascar,Rio de Janeiro,Southeast Brazil,405,361,,,,,,
49100,Zéfiro,,"Lisboa, José Antônio de Freitas; Pitada, José Antônio Moreira de Melo",1820-06-16,Quilimane,Rio de Janeiro,Southeast Brazil,448,406,,,,,,
49101,Conde dos Arcos,,"Pederneira, Manoel Pereira",1822-07-12,Quilimane,Rio de Janeiro,Southeast Brazil,402,345,,,,,,57
49104,NS do Baluarte,,"Vieira, Manoel",1822-07-13,Quilimane,Rio de Janeiro,Southeast Brazil,335,287,,,,,,48
49107,Africano Constitucional,,"Monteiro, Alexandre Correa Cardoso",,Quilimane,Rio de Janeiro,Southeast Brazil,750,627,,,,,,123
49109,Eugênia,,"Domingues, Jerônimo",,Quilimane,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
49116,Sete de Março,,"Rodrigues, Francisco de Paula",,Madagascar,Rio de Janeiro,Southeast Brazil,722,646,,,,,,76
49129,Nove de Janeiro,,"Lontra, Rafael Inácio da Fonseca",,Madagascar,Rio de Janeiro,Southeast Brazil,591,513,,,,,,78
49233,Esperança,,"Dias, Domingos Francisco",,Quilimane,"Bahia, port unspecified",Bahia,386,374,,,,,,12
49239,Flor da Bahia,Portugal,"Gomes, José Martins",,Mozambique,"Bahia, port unspecified",Bahia,491,301,,,,,,190
49378,NS do Rosario S Antônio e Almas,,"Domingues, José",1796-04-16,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,353,324,,,,,,
49379,Comércio do Rio,,"Gonçalves, Joaquim José",1805-08-23,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
49381,S Caetano,,"Martins, Joaquim de Oliveira",1806-05-02,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
49382,S Francisco de Paula,,"Sá, Joaquim Manoel de",1806-07-03,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
49383,NS Mãe dos Homens,,"Pinto, Antônio da Costa",1806-01-28,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,287,260,,,,,,
49440,S Antônio Vitorioso,,,,Mozambique,"Pernambuco, port unspecified",Pernambuco,345,300,,,,,,
49470,Príncipe Eugênio,,"Rosa, Brás",,Mozambique,"Bahia, port unspecified",Bahia,244,209,,,,,,
49734,Elisa,,,,Quilimane,"Southeast Brazil, port unspecified",Southeast Brazil,372,331,,,,,,
49763,Ânimo Grande,Portugal,"Silva, Joaquim José da",1805-04-24,Mozambique,Pará,Amazonia,300,272,,,,,,
49764,Africano do Rio,Portugal,"Domingues, José",1804-08-14,Inhambane,Cape of Good Hope,Southeast Africa and Indian Ocean islands,381,340,,,,,,
49765,General Isidro,Portugal,"Almeida, Manoel Pedro de",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,267,242,,,,,,
49767,Dido,Portugal,"Domingues, José",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,470,420,,,,,,
49768,Variara,Portugal,,,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,514,421,,,,,,
49769,Pitiato (a) Viriato,Portugal,"Almeida, Manoel Pedro de",,Mozambique,"Brazil, region unspecified",Other Brazil,260,236,,,,,,
49770,NS da Boa Viagem e Triunfo da Inveja,Portugal,"Ferreira, José Joaquim",1806-04-10,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49771,Ânimo Grande,Portugal,"Silva, Joaquim José da",1807-04-13,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,400,362,,,,,,
49773,Espada de Ferro NS do Rosario Prazeres e Almas,Portugal,"Luz, João Leite da; Faria, João José",1806-01-03,Mozambique,"Brazil, region unspecified",Other Brazil,316,264,,,,,,
49774,Dois Irmãos (a) Paraquito,Portugal,"Paraquito, José Joaquim Meireiles",,Inhambane,Rio de Janeiro,Southeast Brazil,210,192,,,,,,
49775,Elesbão,Portugal,"Branco, Jose",,Mozambique,Montevideo,Rio de la Plata,373,304,,,,,,69
49776,Dido,Portugal,"Madruga, Luís Pereira",1809-05-20,Mozambique,Montevideo,Rio de la Plata,400,368,,,,,,32
49777,Elesbão,Portugal,"Branco, J P",1810-??-??,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,533,436,,,,,,
49778,Feliz Dias,Portugal,"Almeida, Vitorino da Luz e",1812-06-26,Quilimane,"Pernambuco, port unspecified",Pernambuco,270,247,,,,,,
49779,NS da Piedade Triunfo da Inveja,Portugal,"Gomes, Domingos Antônio",1812-07-15,Inhambane,"Pernambuco, port unspecified",Pernambuco,242,219,,,,,,
49780,Feliz Dias,Portugal,"Almeida, Vitorino da Luz e",1813-06-19,Mozambique,"Pernambuco, port unspecified",Pernambuco,272,246,,,,,,
49781,S Marcos,Portugal,"Bonifácio, João",,Mozambique,"Pernambuco, port unspecified",Pernambuco,450,412,,,,,,
49782,S Joaquim,Portugal,"Senhos, José de",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,364,298,,,,,,
49783,Feliz Dias,Portugal,"Negrão, Pedro José",,Mozambique,"Pernambuco, port unspecified",Pernambuco,270,247,,,,,,
49784,Feliz Dias,Portugal,"Ferreira, Antônio Bento",1815-07-17,Mozambique,"Pernambuco, port unspecified",Pernambuco,215,195,,,,,,
49785,Mato Grosso,Portugal,"Melo, Francisco José de",1816-07-19,Quilimane,"Pernambuco, port unspecified",Pernambuco,430,390,,,,,,
49786,Flor da Bahia,Portugal,"Ferreira, José dos Santos",,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,488,386,,,,,,102
49787,Dos Hermanos,Spain,"Botet, José",,Zanzibar,Havana,Cuba,495,336,54.0%,21.0%,21.0%,4.0%,25.0%,159
49788,Isabella,Spain,Campanera,,Zanzibar,Havana,Cuba,236,193,,,,,,
49789,Caridad,Spain,"Alcinas, Jose",,Zanzibar,Santiago de Cuba,Cuba,216,193,,,,,,23
49790,S José,Spain,"Cauteau, Santiago",,Zanzibar,Havana,Cuba,370,303,,,,,,
49791,Flor do Tejo,,"Ribeiro, Gregório José",1816-05-15,Mozambique,Maranhão,Amazonia,57,51,,,,,,
49804,NS da Piedade,,"Gama, José Custódio da",1725-??-??,Mozambique,,,579,400,,,,,,
49883,Diana,,"Monteiro, João Aires",1807-05-27,Mozambique,Rio de Janeiro,Southeast Brazil,310,279,,,,,,
49971,Feliz Dias,,"Almeida, Vitorino da Luz e",1823-04-08,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
49979,Isabel,,"Branco, Paulo José",1812-07-17,Mozambique,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
49993,Olímpia,,"Madruga, Francisco Pereira Nunes",1818-08-31,Madagascar,Rio de Janeiro,Southeast Brazil,530,473,,,,,,
50818,NS da Atalaia e Bom Jesus das Portas,Portugal,,1759-05-08,Mozambique,"Bahia, port unspecified",Bahia,297,277,,,,,,
50828,Jesus Maria José S Francisco Xavier e Almas,Portugal,"Cox, Samuel",1759-11-21,Mozambique,"Barbados, port unspecified",Barbados,107,100,,,,,,
50829,NS Mãe dos Homens Vitória e Almas,Portugal,,1759-11-22,Mozambique,"Bahia, port unspecified",Bahia,297,277,,,,,,
50843,S Miguel o Anjo S Antônio e Almas,Portugal,,1761-01-30,Mozambique,"Bahia, port unspecified",Bahia,297,277,,,,,,
52001,NS do Rosário e S Antônio,Spain,"Costa, da",,Mozambique,Rio de Janeiro,Southeast Brazil,386,267,,,,,,
70201,Margaret,U.S.A.,"Burgess, Samuel",1698-06-09,Madagascar,Cape of Good Hope,Southeast Africa and Indian Ocean islands,115,104,,,,,,
70202,Peter,U.S.A.,"Revelry, George",1698-01-27,Madagascar,New York,New York,149,126,,,,,,
75307,Crown Gally,Great Britain,"Downing, Dennis",1720-02-24,Madagascar,New York,New York,240,120,16.0%,16.0%,56.0%,16.0%,72.0%,120
75630,Henrietta,Great Britain,"Loyd, William",1720-??-??,Madagascar,York River,Virginia,188,130,,,,,,
75866,Mercury,Great Britain,"Christiall, George",1719-02-21,Madagascar,Rappahannock,Virginia,674,466,,,,,,
76158,Sea Horse,Great Britain,"White, Moor",1726-06-09,Madagascar,Buenos Aires,Rio de la Plata,450,150,,,,,,300
76203,Saint Michael,Great Britain,"Burnham, Charles",1726-06-03,Madagascar,Buenos Aires,Rio de la Plata,412,340,,,,,,72
76496,Hamilton,Great Britain,"Burnham, Charles",,Madagascar,"Barbados, port unspecified",Barbados,257,220,,,,,,
76501,Mercury,Great Britain,"Mackett, Henry",1717-03-07,Madagascar,"Barbados, port unspecified",Barbados,189,158,,,,,,
76503,Henry,Great Britain,"Harvey, John",1717-04-09,Madagascar,"Barbados, port unspecified",Barbados,491,420,,,,,,
77047,Rudge,Great Britain,"Williams, Francis",1729-04-03,Madagascar,Buenos Aires,Rio de la Plata,277,245,,,,,,
77050,Sarah Gally,Great Britain,Bloome,,Madagascar,Buenos Aires,Rio de la Plata,502,347,,,,,,
77052,Arabella,Great Britain,"Hamilton, William",1718-01-12,Madagascar,Buenos Aires,Rio de la Plata,266,208,,,,,,
77674,Unity,Great Britain,"Sargent, Step",1757-01-06,Sofala,Charleston,South Carolina,352,288,,,,,,
78951,Saint Michael,Great Britain,"Burnham, Charles",1729-04-03,Madagascar,Buenos Aires,Rio de la Plata,320,283,,,,,,
96009,Faustina de Buenos Aires,Spain,"Uraga, Pedro de",1796-06-12,Mozambique,Montevideo,Rio de la Plata,214,161,,,,,,53
96010,Reyna de los Angeles,Spain,"Calleja, Pablo Antonio",1796-09-27,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,28,28,,,,,,
96011,Ceres,France,Lambert,,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,41,41,,,,,,
96012,Faustina de Buenos Aires,Spain,"Millet, Joaquin",1797-06-23,Mozambique,Montevideo,Rio de la Plata,284,280,,,,,,4
96014,Astirraga,Spain,"Lopategui, Francisco de",,Mozambique,Montevideo,Rio de la Plata,437,276,,,,,,161
96015,Nazaré,Portugal,"Guimarães, Manoel de Souza",1797-06-15,Mozambique,Montevideo,Rio de la Plata,250,156,,,,,,94
96016,Numero Siete,Portugal,"Calvo, Domingo del",,Mozambique,Montevideo,Rio de la Plata,154,94,,,,,,60
96017,NS da Conceição,,"Castro, José Fernandes de",1799-02-16,"Southeast Africa and Indian Ocean islands, port unspecified",Buenos Aires,Rio de la Plata,27,23,,,,,,
96022,Lennox,U.S.A.,"Brattel, James",,Mozambique,Buenos Aires,Rio de la Plata,307,258,,,,,,49
96023,Maria,,,,Mozambique,Buenos Aires,Rio de la Plata,189,189,,,,,,
96025,NS da Conceição,Portugal,"Copelo, Esteban",,Mozambique,Montevideo,Rio de la Plata,400,330,,,,,,70
96027,Ligera,France,"Mordelles, Hipolito",,Mozambique,Buenos Aires,Rio de la Plata,275,246,,,,,,
96030,NS del Juncal,,,,Mozambique,Montevideo,Rio de la Plata,247,213,,,,,,
96031,Belisário,Portugal,"Ouro, Domingos Crista do",1803-04-06,Mozambique,Montevideo,Rio de la Plata,372,271,,,,,,101
96032,Vênus,France,"Abrard, Pedro",,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,200,198,,,,,,2
96033,Luísa,,"Santos, Dionísio de C",,Mozambique,Montevideo,Rio de la Plata,300,209,,,,,,91
96035,Joaquim,Portugal,"Sebastião, José",,Mozambique,Montevideo,Rio de la Plata,376,64,,,,,,312
96038,Diana,France,"Mordel, Hipolite",,Mozambique,Montevideo,Rio de la Plata,114,103,,,,,,
96039,Ligero,France,"Beuliu, Juan",,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,12,11,,,,,,
96043,General Isidro,Portugal,"Almeida, Manoel Pedro de",,Mozambique,Montevideo,Rio de la Plata,481,306,,,,,,175
96044,Ninfa do Mar,Portugal,"Fonseca, Manoel Antônio da",,Mozambique,Montevideo,Rio de la Plata,378,327,,,,,,
96045,Buena Madre,Spain,"Baudet, Leonardo",,Mozambique,Montevideo,Rio de la Plata,152,130,,,,,,22
96048,Minerva,U.S.A.,"Love, Jorge",,Mozambique,Montevideo,Rio de la Plata,105,58,,,,,,47
96063,Aurora,U.S.A.,"Rus, James",,Kilwa,Montevideo,Rio de la Plata,228,171,,,,,,57
96069,Constância,Spain,Rossi,1802-12-13,Mozambique,Havana,Cuba,117,101,44.0%,8.0%,33.0%,16.0%,49.0%,
96073,Marques de Flori,France,"Moulin, François",,Mauritius (Ile de France),Montevideo,Rio de la Plata,46,40,85.0%,15.0%,,,,
96076,María Eugenia,France,"Miguel, Jorge",,Mauritius (Ile de France),Montevideo,Rio de la Plata,46,46,,,,,,
96078,Christiana,U.S.A.,Thomas Bell,,Mozambique,Montevideo,Rio de la Plata,153,132,,,,,,
96081,S Jose,Spain,Durandeau,,Kilwa,Buenos Aires,Rio de la Plata,256,213,,,,,,
96082,NS del Juncal (a) Harmony,Spain,"Welch, Eduard",1801-12-05,Mozambique,Montevideo,Rio de la Plata,200,66,,,,,,134
96084,Reina Lucía,Portugal,"Soria, Fernando de",,Mozambique,Montevideo,Rio de la Plata,400,330,,,,,,70
96086,Escolástica,Portugal,"Vega, Bartolomé",,Mozambique,Montevideo,Rio de la Plata,519,369,,,,,,150
96087,Resolution,U.S.A.,,1802-01-29,Inhambane,Montevideo,Rio de la Plata,330,250,,,,,,80
96088,Perjuibar,Portugal,"Domingues, Jose",,Mozambique,Montevideo,Rio de la Plata,248,206,,,,,,42
96089,S Juan Bautista,Spain,"Guarch, Nicolas",,Mozambique,Montevideo,Rio de la Plata,170,151,,,,,,19
96091,Oriente,France,"Courad, Estanislao",,Mozambique,Montevideo,Rio de la Plata,410,346,,,,,,64
96092,NS de las Nieves,Spain,"Misura, Mauricio Francisco",,Kilwa,Montevideo,Rio de la Plata,383,233,,,,,,150
96094,Angela,Spain,,,Mozambique,Buenos Aires,Rio de la Plata,130,108,,,,,,
96095,Mendon,U.S.A.,,,Mozambique,Buenos Aires,Rio de la Plata,297,247,,,,,,
96096,S Ignacio (a) Alerta,Spain,,,Mozambique,Buenos Aires,Rio de la Plata,80,67,,,,,,
96097,Susana,France,,,Mozambique,Buenos Aires,Rio de la Plata,180,150,,,,,,
96098,Luisa,Spain,,,Mozambique,Montevideo,Rio de la Plata,292,235,,,,,,
96101,Expedición,Spain,"Oliveira, Joaquín Alfonso",,Mozambique,Buenos Aires,Rio de la Plata,174,158,,,,,,
96103,Adelayda de Lisboa,Portugal,"Rolan, José",,Mozambique,Montevideo,Rio de la Plata,190,42,,,,,,148
96104,Active,U.S.A.,"York, Peter",,Zanzibar,Montevideo,Rio de la Plata,91,83,,,,,,8
96109,Luisa,Portugal,"Moreyra, Custodio de Souza",,Mozambique,Montevideo,Rio de la Plata,337,230,,,,,,107
96111,Dos Hermanos,Portugal,"Meireles, José Joaquim",,Mozambique,Montevideo,Rio de la Plata,200,194,,,,,,6
96112,Industria,Spain,"Zufriategui, Pablo",,Mozambique,Montevideo,Rio de la Plata,131,127,,,,,,
96113,Elizabeth,Portugal,"Blanco, Pablo Toro",,Mozambique,Montevideo,Rio de la Plata,263,235,,,,,,28
99012,Chevalier Forbin,,Dupress de Manneuellette,,Madagascar,,,386,,,,,,,
99013,Rochelle,,"Hauteur, de",,Madagascar,,,386,,,,,,,
900035,Santiago Major,Portugal,,,Mozambique,,,492,412,,,,,,
900036,Benjamin,France,,,Lourenço Marques,,,386,267,,,,,,
900037, ,,,,Mozambique,,,492,412,,,,,,
900039,Vitória,,,1798-06-27,Mozambique,Rio de Janeiro,Southeast Brazil,353,324,,,,,,
900040,Balsemão,Portugal,,,Mozambique,,,386,267,,,,,,
900043, ,,"Joanico, Francisco",,Mozambique,,,492,412,,,,,,
900046,Jacaré,,"Santiago, Antônio Francisco",1802-03-31,Mozambique,Rio de Janeiro,Southeast Brazil,310,279,,,,,,
900052,Ave Maria,Portugal,"Ferreira, Manoel de Sousa",1803-??-??,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
900053,Conceição,,,,Mozambique,,,492,412,,,,,,
900054,Excelentíssima Augusta,,"Madeira, Francisco Luís",,Mozambique,"Spanish Caribbean, unspecified",Other Spanish Caribbean,492,412,,,,,,
900055,Lonhira,,,,Mozambique,,,492,412,,,,,,
900062, ,,"Borges, Constantino José",1805-11-04,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
900063,Apolo,,"Rodrigues, José Nunes",1805-07-22,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
900065,Santiago Maior,Portugal,"Batista, Rufino Pires",,Mozambique,,,492,412,,,,,,
900067,Pensamento,,"Carmo, Félix José do",1806-12-09,Mozambique,Rio de Janeiro,Southeast Brazil,390,353,,,,,,
900068,Telêmaco,,,,Mozambique,Rio de Janeiro,Southeast Brazil,492,412,,,,,,
900069,Amável Augusta,,,1807-04-08,Mozambique,Cape of Good Hope,Southeast Africa and Indian Ocean islands,220,199,,,,,,
900070,Constância,,,,Mozambique,"Americas, port unspecified",Americas,530,473,,,,,,
900072,Salomão,,,,Inhambane,Rio de Janeiro,Southeast Brazil,492,412,,,,,,
900081,Triunfo do Rio,,,,Mozambique,"Brazil, region unspecified",Other Brazil,600,540,,,,,,60
900085,Bom Caminho,,,,Quilimane,"Bahia, port unspecified",Bahia,273,250,,,,,,
900086,Esperança,,,1820-07-30,Inhambane,,,530,,,,,,,
900087,Júlia,,"Cunha, Eusébio José da",,Quilimane,Rio de Janeiro,Southeast Brazil,398,355,,,,,,
900105,Furão,,,,Mozambique,Rio de Janeiro,Southeast Brazil,273,250,,,,,,
900108,Vigilante Guerreiro,,"Lopes, Manoel José",,Inhambane,"Bahia, port unspecified",Bahia,273,250,,,,,,
900109,Vitória,Brazil,"Viana, Ventura José de Oliveira",,Quilimane,Rio de Janeiro,Southeast Brazil,273,250,,,,,,
900133,Barca,,,,Quilimane,Rio de Janeiro,Southeast Brazil,600,502,,,,,,
900134,Ânimo Grande,,"Carvalho, Antônio de Vasconcelos",,Sofala,,,308,,,,,,,
900135,Delfim,Portugal,"Almeida, Joaquim Francisco de",1820-09-07,Quilimane,,,448,420,,,,,,
900136,Lourenço Marques,,"Sales, Carlos Adriano de",,Lourenço Marques,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
900153,D João de Castro,,"Freitas, Vicente de",,Mozambique,Ilha de Marambaia,Southeast Brazil,490,444,,,,,,
900159,Nereida,,,1839-07-??,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
900163,Socorro (a) D Maria Segunda,,,1839-06-05,Mozambique,"Cuba, port unspecified",Cuba,514,421,,,,,,
900164,Veloz,,,1839-06-??,Mozambique,Rio de Janeiro,Southeast Brazil,514,421,,,,,,
900186,Garnofil,,,,Quilimane,Rio de Janeiro,Southeast Brazil,600,491,,,,,,
900191,Andorinha,,,,Quilimane,Rio de Janeiro,Southeast Brazil,490,444,,,,,,
900192,Bela União,,,,Quilimane,Rio de Janeiro,Southeast Brazil,664,362,,,,,,302
