voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
33037,Vicomte de Souillac,France,Camairan,1784-05-26,Quirimba,Cap Français,Saint-Domingue,171,118,42.0%,25.0%,17.0%,15.0%,32.0%,
33055,Joachim,France,Dalmus; Gigot,1787-11-17,Mozambique,Cap Français,Saint-Domingue,250,173,,,,,,
33056,Raphaël,France,"Augier; Dalmus, E",1787-11-17,Mozambique,Cap Français,Saint-Domingue,229,158,,,,,,
33058,Bienfait,France,Porry,1788-??-??,Mozambique,Cap Français,Saint-Domingue,339,234,,,,,,
33059,Trois Philippes,France,"Antoine, P",1788-03-28,Mozambique,Cayes (Les),Saint-Domingue,414,286,,,,,,
33060,Eclair,France,"Carré; Cavailhon, S",1788-04-28,Mozambique,Port-au-Prince,Saint-Domingue,155,107,,,,,,
33063,Constante Pauline,France,Comte,1788-??-??,Mozambique,Cayes (Les),Saint-Domingue,334,231,,,,,,
33064,Sérapis,France,"Curet, Louis",1788-??-??,Mozambique,Port-au-Prince,Saint-Domingue,403,340,,,,,,
33066,Marc Antoine,France,André,1788-??-??,Mozambique,Cap Français,Saint-Domingue,386,267,,,,,,
33069,Concorde,France,Audibert,1789-??-??,Mozambique,Cap Français,Saint-Domingue,337,233,,,,,,
33070,Mars,France,Jeansaume,1789-??-??,Mozambique,Cap Français,Saint-Domingue,434,300,,,,,,
33072,Saint Esprit,France,Vidal,1790-02-16,Mozambique,Port-au-Prince,Saint-Domingue,386,267,,,,,,
33073,Ville de Lausanne,France,Antoine,1790-02-19,Mozambique,Cap Français,Saint-Domingue,796,550,,,,,,
33074,Trois Philippes (a) Tres Amigos,France,"Fruchard; Gaudri, J",1790-02-25,Mozambique,Cayes (Les),Saint-Domingue,299,250,55.0%,17.0%,21.0%,7.0%,28.0%,
33075,Pays de Vaud,France,"Antoine, Louis",1790-03-03,Mozambique,Cap Français,Saint-Domingue,579,485,,,,,,
